cluster_k98,color,n_images,n_pixels,saturation_mean,saturation_std,value_mean,value_std
16,pink,425,110165,0.36009,0.18078,0.22777,0.17591
16,purple,437,134514,0.42364,0.22827,0.24734,0.17747
16,red,443,263264,0.44716,0.23178,0.29318,0.18318
16,white,446,3664193,0.06746,0.04829,0.93943,0.04182
16,yellow,445,1254956,0.45421,0.21968,0.7036,0.2004
17,black,341,687871,0.11039,0.06269,0.11155,0.05967
17,blue,336,3158887,0.4167,0.1624,0.59892,0.27368
17,brown,367,2263788,0.43234,0.16013,0.34247,0.14112
17,cyan,268,553148,0.38352,0.17705,0.49471,0.31629
17,gray,366,3945956,0.11018,0.05396,0.55108,0.1929
17,green,283,796341,0.39698,0.17245,0.30774,0.20371
17,magenta,300,249646,0.32189,0.12946,0.25728,0.24356
17,orange,366,1628942,0.4134,0.15039,0.72131,0.11584
17,pink,333,526707,0.36298,0.13734,0.31234,0.26738
17,purple,306,345882,0.31053,0.11704,0.24052,0.19288
17,red,362,2658892,0.47462,0.18696,0.40477,0.23297
17,white,366,1729498,0.08504,0.056,0.92889,0.044
17,yellow,324,620906,0.38207,0.15993,0.484,0.25969
18,black,454,1041349,0.12237,0.05515,0.12127,0.04768
18,blue,462,6265075,0.42475,0.17135,0.50914,0.25118
18,brown,482,2007711,0.4407,0.18462,0.3122,0.14332
18,cyan,406,1138540,0.39148,0.18722,0.61717,0.30368
18,gray,486,5564317,0.10993,0.05268,0.55349,0.1906
18,green,409,799826,0.40185,0.17424,0.32238,0.19792
18,magenta,378,154223,0.3086,0.12165,0.22513,0.21221
18,orange,471,1198664,0.43904,0.18627,0.73171,0.11853
18,pink,427,372268,0.35506,0.13304,0.34114,0.26385
18,purple,386,332823,0.32001,0.12988,0.2341,0.21345
18,red,473,1593864,0.49475,0.19536,0.37941,0.2194
18,white,475,2175849,0.08235,0.05987,0.93622,0.04705
18,yellow,446,762083,0.41006,0.17705,0.51808,0.28923
19,black,400,877090,0.0912,0.07297,0.09133,0.0651
19,blue,366,1890294,0.42719,0.20135,0.45953,0.28653
19,brown,430,2691485,0.49667,0.18869,0.33632,0.14555
19,cyan,311,229869,0.41634,0.19397,0.40576,0.29028
19,gray,430,4285874,0.09473,0.05888,0.57663,0.18651
19,green,329,407767,0.34567,0.12669,0.36633,0.23614
19,magenta,335,110442,0.37158,0.14569,0.14719,0.09748
19,orange,423,5113958,0.41709,0.1497,0.77088,0.10986
19,pink,383,236613,0.44731,0.24495,0.21984,0.14969
19,purple,344,138161,0.39067,0.17065,0.17695,0.14099
19,red,420,1744495,0.58752,0.23742,0.41257,0.24556
19,white,401,2708178,0.04949,0.05425,0.946,0.0475
19,yellow,387,800718,0.3735,0.15208,0.58711,0.27642
20,black,525,853979,0.10964,0.05521,0.13089,0.04795
20,blue,530,5660464,0.42753,0.15364,0.71137,0.23497
20,brown,530,1959174,0.38088,0.15864,0.34606,0.13206
20,cyan,512,457425,0.42019,0.21154,0.57191,0.33014
20,gray,531,7813585,0.08686,0.05891,0.54153,0.17408
20,green,522,2185440,0.46074,0.16803,0.33255,0.16352
