cluster_k98,color,n_images,n_pixels,saturation_mean,saturation_std,value_mean,value_std
19,purple,193,90614,0.36486,0.14038,0.14275,0.11804
19,red,234,1099746,0.56222,0.22449,0.37869,0.24216
19,white,231,1114448,0.05303,0.05487,0.94209,0.04418
19,yellow,202,183556,0.394,0.16194,0.62343,0.30134
20,black,316,463164,0.10649,0.05671,0.12543,0.05055
20,blue,322,4117423,0.45164,0.15446,0.74584,0.21804
20,brown,322,970261,0.41416,0.16816,0.34258,0.13578
20,cyan,316,359195,0.4254,0.21614,0.61515,0.33687
20,gray,322,4142627,0.07879,0.0604,0.55228,0.16358
20,green,318,1492692,0.47793,0.17032,0.32323,0.15765
20,magenta,217,9278,0.44455,0.25632,0.19853,0.13089
20,orange,303,800456,0.36179,0.13011,0.71566,0.1075
20,pink,262,35115,0.46113,0.25394,0.22712,0.13088
20,purple,244,21278,0.32259,0.17577,0.30618,0.23866
20,red,310,494509,0.49971,0.17312,0.45743,0.23092
20,white,315,927863,0.08569,0.06146,0.93937,0.0494
20,yellow,319,729723,0.44201,0.17028,0.43246,0.19614
21,black,374,94123,0.1125,0.05266,0.14304,0.03949
21,blue,347,1110083,0.56724,0.17675,0.45951,0.18122
21,brown,414,2046611,0.51931,0.18222,0.40254,0.10538
21,cyan,222,362367,0.35431,0.15136,0.63102,0.19441
21,gray,414,9371981,0.08204,0.05177,0.70275,0.12617
21,green,273,220238,0.41591,0.18993,0.37886,0.16369
21,magenta,267,13789,0.32435,0.13695,0.2766,0.17657
21,orange,414,3009347,0.45886,0.18662,0.74918,0.12045
21,pink,333,49419,0.416,0.1677,0.41873,0.18809
21,purple,275,59890,0.36818,0.13854,0.24964,0.10928
21,red,398,1405218,0.66857,0.18082,0.48244,0.16229
21,white,409,2726234,0.10352,0.05681,0.90927,0.04702
21,yellow,413,2779852,0.357,0.14964,0.77844,0.16534
22,black,283,172180,0.06637,0.06788,0.08727,0.07556
22,blue,328,633905,0.53733,0.21868,0.69232,0.25607
22,brown,348,1708505,0.55797,0.15888,0.31987,0.13487
22,cyan,343,2834920,0.47567,0.17765,0.86056,0.18934
22,gray,348,1135242,0.12315,0.0512,0.58944,0.18123
22,green,345,3739188,0.5059,0.16241,0.40375,0.20653
22,magenta,163,64710,0.58578,0.19135,0.36113,0.18686
22,orange,347,1083171,0.5028,0.1896,0.75847,0.12902
22,pink,215,52556,0.44245,0.2187,0.38472,0.26648
22,purple,169,11755,0.42394,0.22955,0.25578,0.20954
22,red,319,439818,0.55792,0.20298,0.39963,0.27388
22,white,344,1349080,0.10321,0.05713,0.96572,0.04279
22,yellow,345,2484154,0.49913,0.16788,0.50418,0.24745
23,black,216,134093,0.10398,0.06573,0.1106,0.05672
23,blue,225,1231212,0.48508,0.23386,0.58174,0.20602
23,brown,231,1054731,0.62714,0.2286,0.36604,0.12582
23,cyan,206,302351,0.39094,0.19206,0.5396,0.2734
23,gray,227,2625149,0.09877,0.05306,0.59438,0.16923
23,green,219,531610,0.43819,0.20566,0.43211,0.20784
23,magenta,194,23892,0.53706,0.24636,0.22178,0.20086
23,orange,230,1253529,0.49295,0.22269,0.76296,0.12867
23,pink,214,71016,0.57394,0.25787,0.34001,0.25622
23,purple,194,37484,0.51895,0.23092,0.28353,0.20959
23,red,229,1084428,0.67309,0.21776,0.56179,0.23483
23,white,207,1531110,0.05319,0.05517,0.94089,0.04764
23,yellow,225,1196259,0.53122,0.22431,0.66832,0.23082
24,black,366,623462,0.06352,0.07043,0.07419,0.06096
24,blue,408,2234579,0.57423,0.23076,0.48786,0.25032
24,brown,490,1466334,0.54107,0.20907,0.35427,0.14091
24,cyan,362,626413,0.5968,0.25959,0.57475,0.24217
24,gray,514,4221274,0.08837,0.05824,0.64275,0.16947
24,green,395,1136968,0.52868,0.22905,0.4806,0.22911
24,magenta,316,69317,0.3853,0.20581,0.27658,0.21998
24,orange,486,3232237,0.48172,0.22064,0.7824,0.12793
24,pink,395,389652,0.49962,0.21299,0.60033,0.30259
24,purple,329,125815,0.40945,0.1921,0.26211,0.20739
24,red,497,3706960,0.6308,0.20905,0.63911,0.2479
24,white,462,4641164,0.05696,0.05461,0.94018,0.04755
24,yellow,455,1709921,0.55898,0.24895,0.77043,0.22359
25,black,444,423886,0.11395,0.05641,0.12858,0.05407
25,blue,453,4278949,0.49304,0.1918,0.70582,0.22879
25,brown,457,3851154,0.47723,0.17141,0.34715,0.1307
25,cyan,410,476826,0.49536,0.25042,0.51253,0.29821
25,gray,457,3760644,0.11351,0.05182,0.55418,0.1832
25,green,430,1066812,0.46709,0.18237,0.26417,0.15747
25,magenta,362,33255,0.37776,0.20736,0.14747,0.12043
25,orange,453,2639099,0.38004,0.13935,0.72205,0.11414
25,pink,413,61373,0.39651,0.20373,0.23713,0.18116
25,purple,388,69644,0.43634,0.22157,0.14537,0.12153
25,red,453,563913,0.45748,0.20417,0.38602,0.22257
25,white,446,1734792,0.09353,0.05852,0.93807,0.04568
25,yellow,445,983845,0.43464,0.17042,0.42417,0.2305
26,black,190,879450,0.09971,0.06366,0.10322,0.05577
26,blue,180,741290,0.43775,0.20814,0.26448,0.2137
26,brown,196,2447560,0.50757,0.1738,0.34486,0.13727
26,cyan,143,164638,0.38518,0.17,0.34406,0.2096
26,gray,198,1487823,0.10427,0.05749,0.49675,0.1949
26,green,147,148870,0.3176,0.11726,0.19182,0.14573
26,magenta,147,133639,0.4316,0.17326,0.14918,0.08087
26,orange,200,2097567,0.4825,0.15198,0.72773,0.11574
26,pink,165,191515,0.39544,0.16644,0.20571,0.15279
26,purple,146,115314,0.37774,0.17298,0.1367,0.08867
26,red,197,1018204,0.44527,0.18721,0.34413,0.22241
26,white,188,794358,0.04642,0.06167,0.96655,0.04564
26,yellow,186,349756,0.40271,0.1679,0.5154,0.28683
27,black,294,943006,0.12339,0.05311,0.10665,0.04637
27,blue,302,2131720,0.39244,0.1474,0.50504,0.29679
27,brown,325,3284715,0.45918,0.1562,0.31874,0.1437
27,cyan,213,324140,0.37288,0.13988,0.45591,0.26724
27,gray,326,2665412,0.12002,0.05176,0.53534,0.19682
27,green,265,1434726,0.40283,0.15086,0.35064,0.17163
27,magenta,313,262720,0.34003,0.13128,0.27133,0.22594
27,orange,325,1405509,0.41838,0.14261,0.69588,0.10769
