cluster_k98,version,n_colors,n_chromatic,achromatic_set,count,n_train,n_val,n_test,mean_chroma,std_chroma,mean_saturation,std_saturation,mean_colorfulness
73,gray|white,2,0,gray|white,2,2,0,0,15.555,0.985,0.213,0.0003,52.015
74,gray|red,2,1,gray,2,0,2,0,22.04,10.73,0.3539,0.1389,72.44
74,gray|pink|red,3,2,gray,2,1,1,0,16.935,4.435,0.2697,0.0091,36.115
74,gray,1,0,gray,2,1,1,0,10.265,0.085,0.191,0.0006,38.775
74,black|gray|orange,3,1,black|gray,2,1,0,1,12.75,2.1,0.224,0.031,49.33
74,brown|white|yellow,3,2,white,2,0,2,0,21.11,0.0,0.3319,0.0,53.77
74,brown|green|white,3,2,white,2,1,1,0,11.85,0.45,0.3469,0.0023,35.655
74,brown|green|yellow,3,3,,2,1,1,0,16.235,1.855,0.396,0.0001,32.695
74,blue|brown|red,3,3,,2,1,1,0,13.11,0.44,0.5272,0.2046,38.005
74,black|blue|brown,3,2,black,2,2,0,0,15.67,0.0,0.328,0.0,46.34
74,black|gray|red,3,1,black|gray,2,2,0,0,11.815,2.625,0.2534,0.0183,44.72
74,blue|gray,2,1,gray,2,2,0,0,17.1,7.2,0.2933,0.0827,57.21
74,brown|cyan|gray,3,2,gray,2,1,1,0,13.015,0.505,0.2912,0.0029,41.265
74,green|orange|white,3,2,white,2,2,0,0,15.745,3.195,0.268,0.0308,45.57
74,orange,1,1,,2,1,1,0,35.59,7.41,0.6018,0.105,64.695
74,brown|red|yellow,3,3,,2,2,0,0,34.68,4.57,0.7405,0.1108,73.615
74,black|brown|red,3,2,black,2,2,0,0,16.035,1.205,0.441,0.0195,46.225
74,brown|cyan,2,2,,2,2,0,0,15.525,3.285,0.4306,0.0816,42.745
75,brown|orange|white,3,2,white,2,1,1,0,15.92,3.81,0.3174,0.0762,49.18
75,brown|cyan,2,2,,2,2,0,0,33.9,0.28,0.6113,0.0069,119.895
76,blue|red|white,3,2,white,2,2,0,0,20.2,0.0,0.4939,0.0,48.67
76,brown|red|white,3,2,white,2,1,1,0,13.285,1.915,0.3543,0.0681,38.58
76,blue|magenta|white,3,2,white,2,1,1,0,15.71,1.09,0.3054,0.0242,38.735
76,gray|orange,2,1,gray,2,2,0,0,16.565,1.525,0.2573,0.0067,40.975
76,blue|purple|red,3,3,,2,2,0,0,21.035,0.375,0.3391,0.0337,44.965
76,blue|pink|purple,3,3,,2,1,0,1,27.965,0.785,0.3329,0.0197,46.64
76,blue|magenta|pink,3,3,,2,2,0,0,27.86,1.18,0.3203,0.0208,43.6
76,gray|orange|white,3,1,gray|white,2,2,0,0,16.1,0.32,0.2418,0.0057,54.745
76,red|white,2,1,white,2,2,0,0,18.98,1.53,0.2984,0.0214,39.455
76,brown|gray|white,3,1,gray|white,2,1,1,0,14.08,1.04,0.2787,0.0137,35.785
77,brown|white,2,1,white,2,1,1,0,11.015,0.915,0.2495,0.0197,46.1
77,pink|red|white,3,2,white,2,1,1,0,25.6,1.75,0.3105,0.0056,49.97
77,green|red,2,2,,2,1,0,1,27.085,3.985,0.4427,0.0757,64.415
77,black|orange,2,1,black,2,0,2,0,20.775,9.675,0.3109,0.1053,62.705
77,blue|yellow,2,2,,2,1,0,1,22.54,7.05,0.5402,0.0893,63.6
77,black|blue|brown,3,2,black,2,2,0,0,9.27,0.4,0.2755,0.0165,40.625
77,blue|gray|red,3,2,gray,2,2,0,0,15.965,2.505,0.3159,0.0068,41.985
77,black|blue,2,1,black,2,2,0,0,13.76,4.19,0.3019,0.0465,60.155
77,gray|yellow,2,1,gray,2,1,0,1,13.995,2.195,0.2031,0.0204,56.53
77,blue|brown|yellow,3,3,,2,0,2,0,26.73,0.0,0.5956,0.0,70.22
77,blue|orange|white,3,2,white,2,1,1,0,26.46,3.56,0.5018,0.0426,74.305
77,black|gray|orange,3,1,black|gray,2,1,1,0,12.97,0.06,0.255,0.0207,38.01
77,black|yellow,2,1,black,2,2,0,0,13.39,1.97,0.2172,0.0086,56.955
77,magenta|pink|red,3,3,,2,0,0,2,14.115,0.485,0.4223,0.0605,48.81
77,gray|pink|red,3,2,gray,2,2,0,0,15.245,2.585,0.3087,0.0708,49.145
77,pink|red,2,2,,2,2,0,0,14.99,1.73,0.5105,0.0829,46.28
77,blue|brown|orange,3,3,,2,1,1,0,25.595,1.445,0.4767,0.0086,62.9
77,brown|pink|red,3,3,,2,2,0,0,21.18,7.91,0.5757,0.1295,52.48
77,blue|gray|purple,3,2,gray,2,0,2,0,18.795,5.225,0.3826,0.0081,51.09
77,orange|pink|red,3,3,,2,1,1,0,21.745,3.995,0.4233,0.0317,61.555
77,brown|gray,2,1,gray,2,0,2,0,12.37,0.82,0.2437,0.0264,36.905
78,black|blue|gray,3,1,black|gray,2,2,0,0,9.71,0.26,0.2352,0.0065,40.105
78,gray|red|white,3,1,gray|white,2,1,0,1,12.74,0.34,0.2361,0.0234,37.82
78,blue|orange,2,2,,2,2,0,0,17.51,3.67,0.5127,0.1106,49.06
78,blue|orange|red,3,3,,2,2,0,0,15.865,1.565,0.3096,0.0125,44.67
78,brown|red,2,2,,2,2,0,0,12.84,2.72,0.4909,0.0804,31.645
78,gray|green|yellow,3,2,gray,2,1,0,1,17.335,2.995,0.2883,0.0019,37.165
78,brown|green|red,3,3,,2,2,0,0,17.855,1.365,0.4052,0.0035,49.335
78,brown|green|yellow,3,3,,2,2,0,0,18.105,5.195,0.5325,0.006,47.53
78,black|brown|orange,3,2,black,2,2,0,0,10.705,0.965,0.3244,0.0192,32.415
78,gray|white,2,0,gray|white,2,0,0,2,9.81,0.0,0.1832,0.0,43.01
78,gray|green,2,1,gray,2,1,0,1,14.775,3.985,0.3083,0.1227,36.97
78,green|white|yellow,3,2,white,2,2,0,0,19.95,0.0,0.37,0.0,50.93
78,blue|purple|white,3,2,white,2,2,0,0,14.22,0.0,0.2551,0.0,37.98
78,black|brown|red,3,2,black,2,1,0,1,25.745,10.145,0.4924,0.0158,77.37
78,cyan|gray|green,3,2,gray,2,2,0,0,14.725,1.745,0.3801,0.0268,42.035
78,black|gray|red,3,1,black|gray,2,1,0,1,11.315,0.645,0.2346,0.0388,41.065
78,blue|pink|red,3,3,,2,0,1,1,17.78,4.64,0.5127,0.0285,60.6
79,gray|green|white,3,1,gray|white,2,2,0,0,15.38,0.67,0.228,0.0292,53.71
79,cyan|gray,2,1,gray,2,2,0,0,12.31,2.53,0.3145,0.005,41.75
